HomeTeam,AwayTeam,HomeTeamScore,AwayTeamScore,Total Possessions
TEX,IAST,58,56,154
""
Team,Result,PlayType,TeamOneScore,TeamTwoScore,Possession,Total Possessions
TEX,TEX wins the tipoff!,Tipoff,0,0,0,154
TEX,TEX: Shot clock violation on TEX Paul Donohue.,Shot Clock Violation,0,0,1,154
IAST,Jimmy Thomas 2-point jumper...BLOCKED by Joel Weaver.       Rebounded by TEX Nicholas Porter.,Turnover,0,0,2,154
TEX,Andrew Duran 2-point jumper...Missed!       Rebounded by IAST Jimmy Thomas.,Missed,0,0,3,154
IAST,Eric Lopez 2-point jumper...Missed!       Rebounded by TEX Andrew Duran.,Score,0,0,4,154
TEX,TEX James Elmer lost the ball out of bounds.,Out of Bounds,0,0,5,154
IAST,Scott Gray 3-point attempt...Missed!       Rebounded by IAST Delbert Holland.,Score,0,0,6,154
IAST,Gregory Powell 3-point attempt...Score!       Assisted by: Warren Turnbow,Score,0,3,7,154
TEX,Paul Donohue 2-point jumper...Missed!       Rebounded by IAST Alan Brown.,Missed,0,3,8,154
IAST,Scott Gray 2-point jumper...Missed!       Rebounded by IAST Warren Turnbow.,Score,0,3,9,154
IAST,Justin Wright 3-point attempt...BLOCKED by TEX Lloyd Sahr.       Rebounded by TEX Willie Ivory.,Turnover,0,3,10,154
TEX,Erwin Mitchell Inside shot...Score!,Score,2,3,11,154
IAST,Lloyd Jefferson Inside shot...Missed!       Rebounded by TEX James Elmer.,Score,2,3,12,154
TEX,Erwin Mitchell Inside shot...Score!,Score,4,3,13,154
IAST,Craig Bennett 3-point attempt...Score!       Assisted by: Terry Torres,Score,4,6,14,154
TEX,Erwin Mitchell Inside shot... Missed with a foul on the play.,Fouled,4,6,15,154
TEX,Free throw coming up... good!,FreeThrow,5,6,15,154
TEX,Free throw coming up... good!,FreeThrow,6,6,15,154
IAST,IAST: Offensive foul on IAST Warren Turnbow.,Turnover,6,6,16,154
TEX,Erwin Mitchell 2-point jumper...Score!,Score,8,6,17,154
IAST,IAST: Offensive foul on IAST Scott Gray.,Turnover,8,6,18,154
TEX,Steven Campbell 2-point jumper...Missed!       Rebounded by TEX Paul Donohue.,Missed,8,6,19,154
TEX,Erwin Mitchell 3-point attempt...Score!       Assisted by: Andrew Duran,Score,11,6,20,154
IAST,IAST Jeffrey Fairchild lost the ball out of bounds.,Turnover,11,6,21,154
TEX,Vincent Davis 2-point jumper...Missed!       Rebounded by TEX Lloyd Sahr.,Missed,11,6,22,154
TEX,Qian Izumi 3-point attempt...Missed!       Rebounded by IAST Gregory Powell.,Miss,11,6,23,154
IAST,Craig Bennett Inside shot... Missed but with a foul on the play.,Fouled,11,6,24,154
IAST,Free throw coming up... good!,FreeThrow,11,7,24,154
IAST,Free throw coming up... rattled out.       Rebounded by IAST Warren Turnbow.,FreeThrow,11,7,24,154
IAST,Justin Wright Inside shot...Score!       Assisted by: Jeffrey Fairchild,Score,11,9,25,154
TEX,Lloyd Sahr 2-point jumper...Score!,Score,13,9,26,154
IAST,Justin Wright 2-point jumper...Missed!       Rebounded by TEX Qian Izumi.,Score,13,9,27,154
TEX,Steven Campbell 3-point attempt...Score!       Assisted by: Andrew Duran,Score,16,9,28,154
IAST,Scott Gray 2-point jumper...Missed!       Rebounded by TEX Andrew Duran.,Score,16,9,29,154
TEX,James Elmer Inside shot...Score!       Assisted by: Lloyd Sahr,Score,18,9,30,154
IAST,Jimmy Thomas Inside shot...BLOCKED by James Elmer.       Rebounded by TEX Vincent Davis.,Turnover,18,9,31,154
TEX,Troy Dyer 3-point attempt...Score!,Score,21,9,32,154
IAST,Levi May 3-point attempt...Missed!Rebounded by TEX Lloyd Sahr.,Score,21,9,33,154
IAST,Craig Bennett steals the ball for IAST!,Turnover,21,9,34,154
IAST,Jeffrey Fairchild 2-point jumper...BLOCKED by Ivan Marques.       Rebounded by IAST Gregory Powell.,Turnover,21,9,35,154
IAST,Justin Wright 2-point jumper...Score!,Score,21,11,36,154
IAST,Justin Wright steals the ball for IAST!,Turnover,21,11,37,154
IAST,Warren Turnbow Inside shot...Missed!       Rebounded by IAST Jeffrey Fairchild.,Score,21,11,38,154
IAST,Alan Brown 2-point jumper...Missed!       Rebounded by TEX Joel Weaver.,Score,21,11,39,154
TEX,Qian Izumi Inside shot...Score!       Assisted by: Steven Campbell,Score,23,11,40,154
IAST,Lloyd Jefferson 2-point jumper...Missed!       Rebounded by TEX Nicholas Porter.,Score,23,11,41,154
TEX,Willie Ivory 2-point jumper...Missed!       Rebounded by TEX James Elmer.,Missed,23,11,42,154
TEX,Ivan Marques Inside shot...Score!,Score,25,11,43,154
IAST,IAST: Offensive foul on IAST Craig Bennett.,Turnover,25,11,44,154
TEX,Steven Campbell 3-point attempt...Missed!       Rebounded by IAST Eric Lopez.,Miss,25,11,45,154
IAST,Warren Turnbow Inside shot...Score!,Score,25,13,46,154
TEX,Erwin Mitchell 2-point jumper...Score! Foul on the play and one!,Score,27,13,47,154
TEX,Free throw coming up... good!,FreeThrow,28,13,47,154
IAST,Justin Wright Inside shot...BLOCKED by Steven Campbell.       Rebounded by IAST Gregory Powell.,Turnover,28,13,48,154
IAST,Terry Torres 3-point attempt...Missed!Rebounded by TEX Nicholas Porter.,Score,28,13,49,154
TEX,Nicholas Porter Inside shot...Score!       Assisted by: Troy Dyer,Score,30,13,50,154
IAST,Levi May 2-point jumper...Score!,Score,30,15,51,154
TEX,Steven Campbell 2-point jumper...Missed!       Rebounded by IAST Jimmy Thomas.,Missed,30,15,52,154
TEX,Steven Campbell steals the ball for TEX!,Turnover,30,15,53,154
TEX,Steven Campbell 2-point jumper...Score!,Score,32,15,54,154
IAST,Delbert Holland 3-point attempt...Missed!       Rebounded by IAST Gregory Powell.,Score,32,15,55,154
IAST,Lloyd Jefferson 3-point attempt...Score!       Assisted by: Terry Torres,Score,32,18,56,154
TEX,James Elmer 2-point jumper...Score!       Assisted by: Willie Ivory,Score,34,18,57,154
IAST,Levi May Inside shot...Score!,Score,34,20,58,154
TEX,Nicholas Porter Inside shot...Missed!       Rebounded by IAST Gregory Powell.,Score,34,20,59,154
IAST,IAST Gregory Powell lost the ball out of bounds.,Turnover,34,20,60,154
TEX,Lloyd Sahr 2-point jumper...Missed!       Rebounded by IAST Levi May.,Missed,34,20,61,154
TEX,Ivan Marques steals the ball for TEX!,Turnover,34,20,62,154
TEX,Willie Ivory Inside shot...Missed!       Rebounded by IAST Warren Turnbow.,Score,34,20,63,154
IAST,Alan Brown 2-point jumper...Missed!       Rebounded by TEX Paul Donohue.,Score,34,20,64,154
IAST,Lloyd Jefferson steals the ball for IAST!,Turnover,34,20,65,154
IAST,Jeffrey Fairchild 2-point jumper...Missed!       Rebounded by TEX James Elmer.,Score,34,20,66,154
TEX,TEX James Elmer lost the ball out of bounds.,Out of Bounds,34,20,67,154
IAST,Justin Wright 2-point jumper...Score!,Score,34,22,68,154
TEX,Steven Campbell 2-point jumper...Score!,Score,36,22,69,154
IAST,Lloyd Jefferson 2-point jumper...Missed!       Rebounded by TEX Troy Dyer.,Score,36,22,70,154
TEX,Troy Dyer 2-point jumper...Missed!       Rebounded by TEX James Elmer.,Missed,36,22,71,154
TEX,Erwin Mitchell 2-point jumper...Missed!       Rebounded by IAST Jeffrey Fairchild.,Missed,36,22,72,154
TEX,Willie Ivory steals the ball for TEX!,Turnover,36,22,73,154
TEX,Nicholas Porter 2-point jumper...Missed!       Rebounded by TEX Steven Campbell.,Missed,36,22,74,154
TEX,Nicholas Porter 2-point jumper...Score!,Score,38,22,75,154
IAST,Justin Wright 3-point attempt...Missed!Rebounded by TEX Troy Dyer.,Score,38,22,76,154
TEX,Vincent Davis Inside shot...Score!,Score,40,22,77,154
,,HALFTIME,40,22,77,154
IAST,Delbert Holland 2-point jumper...Missed!       Rebounded by IAST Gregory Powell.,Score,40,22,78,154
IAST,Jimmy Thomas Inside shot...Score!       Assisted by: Alan Brown,Score,40,24,79,154
TEX,Andrew Duran 2-point jumper...Missed!       Rebounded by IAST Delbert Holland.,Missed,40,24,80,154
TEX,Troy Dyer steals the ball for TEX!,Turnover,40,24,81,154
IAST,Jimmy Thomas steals the ball for IAST!,Turnover,40,24,82,154
IAST,Warren Turnbow 3-point attempt...Score!       Assisted by: Jimmy Thomas,Score,40,27,83,154
TEX,Steven Campbell 2-point jumper...Score!,Score,42,27,84,154
TEX,Nicholas Porter steals the ball for TEX!,Turnover,42,27,85,154
TEX,James Elmer 3-point attempt...Missed!       Rebounded by IAST Gregory Powell.,Miss,42,27,86,154
IAST,Craig Bennett 2-point jumper...Score!,Score,42,29,87,154
TEX,Nicholas Porter 2-point jumper...Score!,Score,44,29,88,154
TEX,Lloyd Sahr steals the ball for TEX!,Turnover,44,29,89,154
TEX,TEX: Offensive foul on TEX Ivan Marques.,Foul,44,29,90,154
IAST,Levi May 2-point jumper...Missed!       Rebounded by TEX James Elmer.,Score,44,29,91,154
TEX,TEX Erwin Mitchell lost the ball out of bounds.,Out of Bounds,44,29,92,154
IAST,IAST: Offensive foul on IAST Jimmy Thomas.,Turnover,44,29,93,154
TEX,James Elmer 2-point jumper...Missed!       Rebounded by TEX James Elmer.,Missed,44,29,94,154
TEX,TEX Lloyd Sahr lost the ball out of bounds.,Out of Bounds,44,29,95,154
IAST,Justin Wright 3-point attempt...Score!       Assisted by: Terry Torres,Score,44,32,96,154
TEX,Andrew Duran 2-point jumper...Missed!       Rebounded by IAST Levi May.,Missed,44,32,97,154
IAST,Craig Bennett 3-point attempt...BLOCKED by TEX Troy Dyer.       Rebounded by IAST Terry Torres.,Turnover,44,32,98,154
IAST,Jeffrey Fairchild Inside shot... Missed but with a foul on the play.,Fouled,44,32,99,154
IAST,Free throw coming up... good!,FreeThrow,44,33,99,154
IAST,Free throw coming up... rattled out.       Rebounded by IAST Delbert Holland.,FreeThrow,44,33,99,154
IAST,Jeffrey Fairchild Inside shot...Score!,Score,44,35,100,154
IAST,Jimmy Thomas steals the ball for IAST!,Turnover,44,35,101,154
TEX,James Elmer steals the ball for TEX!,Turnover,44,35,102,154
TEX,James Elmer 3-point attempt...Missed!       Rebounded by IAST Craig Bennett.,Miss,44,35,103,154
IAST,Terry Torres 3-point attempt...Missed!Rebounded by TEX Paul Donohue.,Score,44,35,104,154
TEX,TEX Lloyd Sahr lost the ball out of bounds.,Out of Bounds,44,35,105,154
IAST,Levi May 2-point jumper...Score!,Score,44,37,106,154
TEX,Nicholas Porter 3-point attempt...Missed!       Rebounded by TEX Joel Weaver.,Missed,44,37,107,154
TEX,Troy Dyer 3-point attempt...Missed!       Rebounded by TEX Troy Dyer.,Missed,44,37,108,154
TEX,Andrew Duran 2-point jumper...Missed!       Rebounded by TEX Erwin Mitchell.,Missed,44,37,109,154
TEX,Nicholas Porter 3-point attempt...Missed!       Rebounded by IAST Alan Brown.,Miss,44,37,110,154
TEX,Troy Dyer steals the ball for TEX!,Turnover,44,37,111,154
TEX,Andrew Duran Inside shot...Score!,Score,46,37,112,154
IAST,Terry Torres 3-point attempt...BLOCKED by TEX James Elmer.       Rebounded by TEX Andrew Duran.,Turnover,46,37,113,154
TEX,Andrew Duran 2-point jumper...Missed!       Rebounded by IAST Jeffrey Fairchild.,Missed,46,37,114,154
IAST,Jeffrey Fairchild 2-point jumper...Missed!       Rebounded by IAST Delbert Holland.,Score,46,37,115,154
IAST,Levi May 3-point attempt...Missed!       Rebounded by IAST Alan Brown.,Score,46,37,116,154
IAST,Warren Turnbow 3-point attempt...Missed!       Rebounded by IAST Jimmy Thomas.,Score,46,37,117,154
IAST,Terry Torres Inside shot... Missed but with a foul on the play.,Fouled,46,37,118,154
IAST,Free throw coming up... good!,FreeThrow,46,38,118,154
IAST,Free throw coming up... good!,FreeThrow,46,39,118,154
TEX,Troy Dyer 3-point attempt...Missed!       Rebounded by TEX Steven Campbell.,Missed,46,39,119,154
TEX,Lloyd Sahr 2-point jumper...BLOCKED by IAST Justin Wright.       Rebounded by IAST Justin Wright.,Turnover,46,39,120,154
IAST,Levi May Inside shot...Missed!       Rebounded by TEX Nicholas Porter.,Score,46,39,121,154
TEX,Ivan Marques 3-point attempt...Missed!       Rebounded by IAST Delbert Holland.,Miss,46,39,122,154
TEX,Erwin Mitchell steals the ball for TEX!,Turnover,46,39,123,154
TEX,James Elmer Inside shot... Missed with a foul on the play.,Fouled,46,39,124,154
TEX,Free throw coming up... good!,FreeThrow,47,39,124,154
TEX,Free throw coming up... good!,FreeThrow,48,39,124,154
IAST,Jimmy Thomas 2-point jumper...Missed!       Rebounded by IAST Delbert Holland.,Score,48,39,125,154
IAST,Jeffrey Fairchild 2-point jumper...Score!,Score,48,41,126,154
TEX,Troy Dyer 2-point jumper...Missed!       Rebounded by IAST Gregory Powell.,Missed,48,41,127,154
IAST,Alan Brown Inside shot... Missed but with a foul on the play.,Fouled,48,41,128,154
IAST,Free throw coming up... good!,FreeThrow,48,42,128,154
IAST,Free throw coming up... good!,FreeThrow,48,43,128,154
TEX,Erwin Mitchell 2-point jumper...Missed!       Rebounded by IAST Scott Gray.,Missed,48,43,129,154
IAST,Scott Gray Inside shot...Missed!       Rebounded by TEX Nicholas Porter.,Score,48,43,130,154
TEX,Andrew Duran 2-point jumper...Missed!       Rebounded by IAST Alan Brown.,Missed,48,43,131,154
IAST,Jeffrey Fairchild 3-point attempt...Missed!Rebounded by TEX Vincent Davis.,Score,48,43,132,154
TEX,Willie Ivory 3-point attempt...Score!       Assisted by: Lloyd Sahr,Score,51,43,133,154
IAST,Jeffrey Fairchild Inside shot...Score!,Score,51,45,134,154
TEX,TEX: Offensive foul on TEX Vincent Davis.,Foul,51,45,135,154
IAST,Justin Wright 3-point attempt...Score!,Score,51,48,136,154
TEX,Andrew Duran 2-point jumper...Missed!       Rebounded by TEX Andrew Duran.,Missed,51,48,137,154
TEX,James Elmer Inside shot...Score!       Assisted by: Nicholas Porter,Score,53,48,138,154
IAST,Jeffrey Fairchild 3-point attempt...Missed!Rebounded by TEX Paul Donohue.,Score,53,48,139,154
TEX,Steven Campbell 2-point jumper...Missed!       Rebounded by IAST Lloyd Jefferson.,Missed,53,48,140,154
IAST,Warren Turnbow Inside shot...Score!,Score,53,50,141,154
TEX,James Elmer 3-point attempt...Missed!       Rebounded by IAST Terry Torres.,Miss,53,50,142,154
IAST,Terry Torres 3-point attempt...Missed!Rebounded by TEX Nicholas Porter.,Score,53,50,143,154
TEX,Andrew Duran 2-point jumper...Missed!       Rebounded by IAST Alan Brown.,Missed,53,50,144,154
IAST,Jeffrey Fairchild 3-point attempt...Missed!Rebounded by TEX Andrew Duran.,Score,53,50,145,154
TEX,Lloyd Sahr 3-point attempt...Missed!       Rebounded by IAST Lloyd Jefferson.,Miss,53,50,146,154
IAST,Warren Turnbow 2-point jumper...Score!,Score,53,52,147,154
TEX,Erwin Mitchell Inside shot...Score!,Score,55,52,148,154
IAST,IAST: Offensive foul on IAST Scott Gray.,Turnover,55,52,149,154
TEX,Erwin Mitchell 3-point attempt...Score!       Assisted by: James Elmer,Score,58,52,150,154
