HomeTeam,AwayTeam,HomeTeamScore,AwayTeamScore,Total Possessions
TAMU,UGA,72,80,140
""
Team,Result,PlayType,TeamOneScore,TeamTwoScore,Possession,Total Possessions
UGA,UGA wins the tipoff!,Tipoff,0,0,0,140
UGA,Don Zimmerman Inside shot...Score! Fouled and we have a free throw folks!       Assisted by: Michael Turner,Score,0,2,1,140
UGA,       Free throw coming up... rattled out.       Rebounded by TAMU Guido Barborak.,FreeThrow,0,2,1,140
TAMU,Hang Huynh 2-point jumper...BLOCKED by UGA John Cowart.       Rebounded by UGA Michael Turner.,Turnover,0,2,2,140
UGA,UGA: Offensive foul on UGA Ralph Cox.,Turnover,0,2,3,140
TAMU,Michael Lagasse Inside shot...Score!,Score,2,2,4,140
UGA,Ralph Cox Inside shot...Score!,Score,2,4,5,140
TAMU,Adrian Cristales 3-point attempt...Score!       Assisted by: Hang Huynh,Score,5,4,6,140
UGA,Michael Turner 3-point attempt...Missed!Rebounded by TAMU Madhavi Dinh.,Score,5,4,7,140
TAMU,TAMU Michael Lagasse lost the ball out of bounds.,Out of Bounds,5,4,8,140
UGA,Guy Reese Inside shot...Missed!       Rebounded by TAMU Melvin Antoine.,Score,5,4,9,140
TAMU,Jimmy Mitchell 3-point attempt...Missed!       Rebounded by UGA Joseph Swenson.,Miss,5,4,10,140
UGA,John Cowart 2-point jumper...Missed!       Rebounded by TAMU Madhavi Dinh.,Score,5,4,11,140
TAMU,Marion Youngs 2-point jumper...Missed!       Rebounded by UGA John Crystal.,Missed,5,4,12,140
UGA,Robert Roberts Inside shot...Score!,Score,5,6,13,140
TAMU,Scott Gray Inside shot...Score!       Assisted by: Madhavi Dinh,Score,7,6,14,140
UGA,John Cowart 2-point jumper...Missed!       Rebounded by UGA Don Zimmerman.,Score,7,6,15,140
UGA,John Crystal Inside shot...Score!       Assisted by: Robert Roberts,Score,7,8,16,140
TAMU,Jimmy Mitchell 3-point attempt...Score!       Assisted by: Hang Huynh,Score,10,8,17,140
UGA,Don Zimmerman 2-point jumper...Missed!       Rebounded by UGA John Cowart.,Score,10,8,18,140
UGA,John Crystal 2-point jumper...Missed!       Rebounded by UGA John Crystal.,Score,10,8,19,140
UGA,Michael Turner Inside shot...Score!       Assisted by: Guy Reese,Score,10,10,20,140
UGA,Joseph Swenson steals the ball for UGA!,Turnover,10,10,21,140
UGA,UGA John Crystal lost the ball out of bounds.,Turnover,10,10,22,140
TAMU,Madhavi Dinh 3-point attempt...Missed!       Rebounded by UGA Joseph Swenson.,Miss,10,10,23,140
UGA,Guy Reese 3-point attempt...Missed!Rebounded by TAMU Hang Huynh.,Score,10,10,24,140
TAMU,Scott Gray 3-point attempt...Score!       Assisted by: Adrian Cristales,Score,13,10,25,140
UGA,John Crystal Inside shot...BLOCKED by Jimmy Mitchell.       Rebounded by UGA Joseph Swenson.,Turnover,13,10,26,140
UGA,John Cowart 2-point jumper...Missed!       Rebounded by TAMU Hang Huynh.,Score,13,10,27,140
TAMU,Madhavi Dinh 2-point jumper...BLOCKED by UGA John Cowart.       Rebounded by TAMU Madhavi Dinh.,Turnover,13,10,28,140
TAMU,Michael Lagasse 2-point jumper...Score!,Score,15,10,29,140
UGA,Don Zimmerman Inside shot...Missed!       Rebounded by UGA John Crystal.,Score,15,10,30,140
UGA,Michael Turner Inside shot...Score!       Assisted by: Marcus Williams,Score,15,12,31,140
TAMU,Marion Youngs Inside shot...Score!,Score,17,12,32,140
UGA,Michael Turner 3-point attempt...Missed!Rebounded by TAMU Madhavi Dinh.,Score,17,12,33,140
TAMU,Free throw coming up... good!,FreeThrow,18,12,34,140
TAMU,Free throw coming up... good!,FreeThrow,19,12,34,140
TAMU,Free throw coming up... rattled out.       Rebounded by TAMU Adrian Cristales.,FreeThrow,19,12,34,140
TAMU,Jimmy Mitchell 3-point attempt...Score!       Assisted by: Adrian Cristales,Score,22,12,35,140
UGA,Guy Reese 3-point attempt...Score!       Assisted by: Don Zimmerman,Score,22,15,36,140
TAMU,TAMU: Offensive foul on TAMU Michael Lagasse.,Foul,22,15,37,140
UGA,Ralph Cox 2-point jumper...Missed!       Rebounded by TAMU Adrian Cristales.,Score,22,15,38,140
TAMU,Marion Youngs Inside shot...Score!       Assisted by: Adrian Cristales,Score,24,15,39,140
UGA,Joseph Swenson Inside shot...Score!,Score,24,17,40,140
TAMU,Madhavi Dinh Inside shot...Score!,Score,26,17,41,140
UGA,John Cowart Inside shot... Missed but with a foul on the play.,Fouled,26,17,42,140
UGA,Free throw coming up... rattled out.,FreeThrow,26,17,42,140
UGA,Free throw coming up... rattled out.       Rebounded by TAMU Marion Youngs.,FreeThrow,26,17,42,140
TAMU,Adrian Cristales 2-point jumper...Score!       Assisted by: Michael Lagasse,Score,28,17,43,140
UGA,John Crystal 2-point jumper... Missed but there is a foul on the play.,Foul,28,17,44,140
UGA,Free throw coming up... good!,FreeThrow,28,18,44,140
UGA,Free throw coming up... good!,FreeThrow,28,19,44,140
TAMU,Jimmy Mitchell Inside shot...Score!       Assisted by: Marion Youngs,Score,30,19,45,140
UGA,Don Zimmerman Inside shot...Score!,Score,30,21,46,140
TAMU,TAMU Michael Lagasse lost the ball out of bounds.,Out of Bounds,30,21,47,140
UGA,Ralph Cox 2-point jumper...Score!,Score,30,23,48,140
TAMU,TAMU Adrian Cristales lost the ball out of bounds.,Out of Bounds,30,23,49,140
UGA,Guy Reese Inside shot...Score!,Score,30,25,50,140
TAMU,Scott Gray 2-point jumper...Score!,Score,32,25,51,140
UGA,Ralph Cox Inside shot...BLOCKED by Michael Lagasse.       Rebounded by UGA Guy Reese.,Turnover,32,25,52,140
TAMU,Scott Gray steals the ball for TAMU!,Turnover,32,25,53,140
TAMU,Melvin Antoine 2-point jumper...Missed!       Rebounded by UGA Guy Reese.,Missed,32,25,54,140
UGA,John Cowart Inside shot... Missed but with a foul on the play.,Fouled,32,25,55,140
UGA,Free throw coming up... rattled out.,FreeThrow,32,25,55,140
UGA,Free throw coming up... rattled out.       Rebounded by TAMU Madhavi Dinh.,FreeThrow,32,25,55,140
TAMU,Hang Huynh 2-point jumper...Missed!       Rebounded by UGA Marcus Williams.,Missed,32,25,56,140
UGA,John Cowart Inside shot...Score!,Score,32,27,57,140
TAMU,Michael Eickmeyer 3-point attempt...Score!       Assisted by: Thomas Kinney,Score,35,27,58,140
UGA,John Cowart 3-point attempt...Missed!Rebounded by TAMU Madhavi Dinh.,Score,35,27,59,140
TAMU,Jimmy Mitchell Inside shot...BLOCKED by UGA Joseph Swenson.       Rebounded by UGA Joseph Swenson.,Turnover,35,27,60,140
UGA,Robert Roberts Inside shot...Score! Fouled and we have a free throw folks!,Score,35,29,61,140
UGA,Free throw coming up... good!,FreeThrow,35,30,61,140
TAMU,Thomas Kinney Inside shot...Score! Foul on the play and one!,Score,37,30,62,140
TAMU,Free throw coming up... good!,FreeThrow,38,30,62,140
UGA,Joseph Swenson 3-point attempt...Missed!Rebounded by TAMU Scott Gray.,Score,38,30,63,140
TAMU,Marion Youngs 2-point jumper...Score!       Assisted by: Jimmy Mitchell,Score,40,30,64,140
UGA,John Cowart Inside shot...Missed!       Rebounded by TAMU Michael Lagasse.,Score,40,30,65,140
UGA,Joseph Swenson steals the ball for UGA!,Turnover,40,30,66,140
UGA,Don Zimmerman Inside shot... Missed but with a foul on the play.,Fouled,40,30,67,140
UGA,Free throw coming up... good!,FreeThrow,40,31,67,140
