HomeTeam,AwayTeam,HomeTeamScore,AwayTeamScore,Total Possessions
TLDO,EMU,69,48,145
""
Team,Result,PlayType,TeamOneScore,TeamTwoScore,Possession,Total Possessions
TLDO,TLDO wins the tipoff!,Tipoff,0,0,0,145
TLDO,Russell Bass 2-point jumper...Missed!       Rebounded by TLDO Ronald Dankel.,Missed,0,0,1,145
TLDO,Gregory Ford Inside shot...Score!       Assisted by: Vijaya Alba,Score,2,0,2,145
EMU,Constantine Koontz 2-point jumper...Missed!       Rebounded by EMU Adalberto Salinas.,Score,2,0,3,145
EMU,Scot Ayvazyan 3-point attempt...Missed!Rebounded by TLDO Vijaya Alba.,Score,2,0,4,145
TLDO,David Armstrong 2-point jumper...Score!,Score,4,0,5,145
EMU,Adalberto Salinas 3-point attempt...Score!       Assisted by: James Mcdaniel,Score,4,3,6,145
TLDO,Ronald Dankel 3-point attempt...Missed!       Rebounded by EMU Jonathan Mclaurine.,Miss,4,3,7,145
EMU,EMU James Flynn lost the ball out of bounds.,Turnover,4,3,8,145
TLDO,Gregory Ford 2-point jumper...Score!       Assisted by: Russell Bass,Score,6,3,9,145
EMU,Constantine Koontz 2-point jumper...Missed!       Rebounded by EMU David Tolan.,Score,6,3,10,145
EMU,Scot Ayvazyan 3-point attempt...Missed!Rebounded by TLDO David Armstrong.,Score,6,3,11,145
TLDO,TLDO Ronald Dankel lost the ball out of bounds.,Out of Bounds,6,3,12,145
EMU,Jonathan Mclaurine Inside shot...Score!,Score,6,5,13,145
TLDO,David Armstrong 2-point jumper...Score!,Score,8,5,14,145
EMU,EMU Adalberto Salinas lost the ball out of bounds.,Turnover,8,5,15,145
TLDO,Clifton Roberts 3-point attempt...Score!       Assisted by: Joseph Elias,Score,11,5,16,145
EMU,Scot Ayvazyan 2-point jumper...Score!,Score,11,7,17,145
TLDO,Joseph Elias 2-point jumper...Missed!       Rebounded by EMU Adalberto Salinas.,Missed,11,7,18,145
EMU,David Tolan 3-point attempt...Score!       Assisted by: James Flynn,Score,11,10,19,145
TLDO,Clifton Roberts Inside shot... Missed with a foul on the play.,Fouled,11,10,20,145
TLDO,Free throw coming up... good!,FreeThrow,12,10,20,145
TLDO,Free throw coming up... good!,FreeThrow,13,10,20,145
EMU,Scot Ayvazyan Inside shot...Score! Fouled and we have a free throw folks!,Score,13,12,21,145
EMU,Free throw coming up... good!,FreeThrow,13,13,21,145
TLDO,Vijaya Alba 2-point jumper...Score!,Score,15,13,22,145
EMU,Adalberto Salinas 2-point jumper...Score!,Score,15,15,23,145
TLDO,Steven Seeber 2-point jumper...Missed!       Rebounded by EMU Scot Ayvazyan.,Missed,15,15,24,145
EMU,EMU: Offensive foul on EMU David Tolan.,Turnover,15,15,25,145
TLDO,Clifton Roberts Inside shot...Score!       Assisted by: Joseph Elias,Score,17,15,26,145
EMU,Adalberto Salinas Inside shot...Missed!       Rebounded by TLDO Steven Seeber.,Score,17,15,27,145
TLDO,Gregory Ford 2-point jumper...Score!,Score,19,15,28,145
EMU,Scot Ayvazyan 2-point jumper...Missed!       Rebounded by EMU Scot Ayvazyan.,Score,19,15,29,145
EMU,EMU: Offensive foul on EMU Jonathan Mclaurine.,Turnover,19,15,30,145
TLDO,Robert Reid Inside shot...Score!,Score,21,15,31,145
EMU,Constantine Koontz 2-point jumper...Score!,Score,21,17,32,145
TLDO,Gregory Ford 2-point jumper...BLOCKED by EMU Andrew Flick.       Rebounded by EMU James Flynn.,Turnover,21,17,33,145
EMU,Jonathan Mclaurine 2-point jumper...BLOCKED by Gregory Ford.       Rebounded by EMU Frank Strub.,Turnover,21,17,34,145
EMU,Andrew Flick Inside shot...Missed!       Rebounded by TLDO Ronald Dankel.,Score,21,17,35,145
TLDO,Vijaya Alba Inside shot...Score!       Assisted by: Gregory Ford,Score,23,17,36,145
EMU,Constantine Koontz 2-point jumper...Score!,Score,23,19,37,145
TLDO,Robert Reid Inside shot...Score!       Assisted by: Ronald Dankel,Score,25,19,38,145
TLDO,Gregory Ford steals the ball for TLDO!,Turnover,25,19,39,145
TLDO,Coy Jenkins 3-point attempt...Missed!       Rebounded by EMU Jonathan Mclaurine.,Miss,25,19,40,145
EMU,David Tolan 3-point attempt...Missed!Rebounded by TLDO Michael Poynter.,Score,25,19,41,145
EMU,Ross Carney steals the ball for EMU!,Turnover,25,19,42,145
EMU,Michael Thompson Inside shot...Missed!       Rebounded by TLDO David Armstrong.,Score,25,19,43,145
TLDO,Vijaya Alba Inside shot...Missed!       Rebounded by EMU Scot Ayvazyan.,Score,25,19,44,145
TLDO,Ronald Dankel steals the ball for TLDO!,Turnover,25,19,45,145
TLDO,Vijaya Alba 3-point attempt...Missed!       Rebounded by EMU James Mcdaniel.,Miss,25,19,46,145
EMU,Scot Ayvazyan Inside shot...Score!       Assisted by: David Tolan,Score,25,21,47,145
TLDO,Vijaya Alba 3-point attempt...Missed!       Rebounded by EMU David Tolan.,Miss,25,21,48,145
TLDO,Gregory Ford steals the ball for TLDO!,Turnover,25,21,49,145
TLDO,TLDO Ronald Dankel lost the ball out of bounds.,Out of Bounds,25,21,50,145
EMU,Adalberto Salinas 2-point jumper...Score!,Score,25,23,51,145
TLDO,TLDO: Offensive foul on TLDO Gregory Ford.,Foul,25,23,52,145
EMU,Scot Ayvazyan 2-point jumper...Missed!       Rebounded by TLDO Ronald Dankel.,Score,25,23,53,145
TLDO,Ronald Dankel 3-point attempt...Missed!       Rebounded by EMU James Mcdaniel.,Miss,25,23,54,145
EMU,James Mcdaniel 2-point jumper...Missed!       Rebounded by TLDO Vijaya Alba.,Score,25,23,55,145
TLDO,Vijaya Alba 3-point attempt...Missed!       Rebounded by EMU David Clausen.,Miss,25,23,56,145
EMU,EMU Adalberto Salinas lost the ball out of bounds.,Turnover,25,23,57,145
TLDO,David Armstrong 3-point attempt...Missed!       Rebounded by EMU Andrew Flick.,Miss,25,23,58,145
TLDO,Joseph Elias steals the ball for TLDO!,Turnover,25,23,59,145
EMU,James Mcdaniel steals the ball for EMU!,Turnover,25,23,60,145
EMU,Jonathan Mclaurine Inside shot...Missed!       Rebounded by TLDO David Armstrong.,Score,25,23,61,145
TLDO,David Armstrong Inside shot...BLOCKED by EMU Jonathan Mclaurine.       Rebounded by EMU Scot Ayvazyan.,Turnover,25,23,62,145
EMU,Scot Ayvazyan Inside shot...Score!       Assisted by: David Tolan,Score,25,25,63,145
TLDO,TLDO: Offensive foul on TLDO Vijaya Alba.,Foul,25,25,64,145
EMU,EMU Andrew Flick lost the ball out of bounds.,Turnover,25,25,65,145
TLDO,Vijaya Alba Inside shot...Score!       Assisted by: David Armstrong,Score,27,25,66,145
EMU,Jonathan Mclaurine 2-point jumper...Missed!       Rebounded by EMU Danny Lamb.,Score,27,25,67,145
EMU,EMU Scot Ayvazyan lost the ball out of bounds.,Turnover,27,25,68,145
TLDO,Russell Bass Inside shot...Score!,Score,29,25,69,145
EMU,Adalberto Salinas 2-point jumper...Missed!       Rebounded by TLDO Brian Larowe.,Score,29,25,70,145
TLDO,Gregory Ford 3-point attempt...Score!       Assisted by: Ronald Dankel,Score,32,25,71,145
EMU,Scot Ayvazyan Inside shot...BLOCKED by Gregory Ford.       Rebounded by TLDO Joseph Elias.,Turnover,32,25,72,145
,,HALFTIME,32,25,72,145
EMU,David Tolan steals the ball for EMU!,Turnover,32,25,73,145
EMU,David Tolan 2-point jumper...BLOCKED by Ronald Dankel.       Rebounded by EMU Adalberto Salinas.,Turnover,32,25,74,145
EMU,James Flynn 2-point jumper...Missed!       Rebounded by EMU Danny Lamb.,Score,32,25,75,145
EMU,Michael Thompson 3-point attempt...Score!       Assisted by: Constantine Koontz,Score,32,28,76,145
TLDO,David Armstrong Inside shot...Score!       Assisted by: Ronald Dankel,Score,34,28,77,145
EMU,Danny Lamb Inside shot...BLOCKED by Steven Seeber.       Rebounded by TLDO Joseph Elias.,Turnover,34,28,78,145
TLDO,Robert Reid 2-point jumper...Missed!       Rebounded by EMU Adalberto Salinas.,Missed,34,28,79,145
TLDO,Steven Seeber steals the ball for TLDO!,Turnover,34,28,80,145
TLDO,Coy Jenkins 2-point jumper...Missed!       Rebounded by EMU Danny Lamb.,Missed,34,28,81,145
EMU,James Mcdaniel 2-point jumper...Missed!       Rebounded by EMU Adalberto Salinas.,Score,34,28,82,145
EMU,James Mcdaniel Inside shot... Missed but with a foul on the play.,Fouled,34,28,83,145
EMU,Free throw coming up... good!,FreeThrow,34,29,83,145
EMU,Free throw coming up... good!,FreeThrow,34,30,83,145
TLDO,Russell Bass Inside shot...Score!       Assisted by: Gregory Ford,Score,36,30,84,145
EMU,Adalberto Salinas 2-point jumper...Missed!       Rebounded by TLDO Vijaya Alba.,Score,36,30,85,145
EMU,Ross Carney steals the ball for EMU!,Turnover,36,30,86,145
EMU,Scot Ayvazyan 2-point jumper...Missed!       Rebounded by TLDO Ronald Dankel.,Score,36,30,87,145
TLDO,Clifton Roberts Inside shot...Score!,Score,38,30,88,145
EMU,Jonathan Mclaurine 3-point attempt...Missed!Rebounded by TLDO Steven Seeber.,Score,38,30,89,145
TLDO,Coy Jenkins Inside shot... Missed with a foul on the play.,Fouled,38,30,90,145
TLDO,Free throw coming up... good!,FreeThrow,39,30,90,145
EMU,Jonathan Mclaurine 3-point attempt...Missed!Rebounded by TLDO Vijaya Alba.,Score,39,30,91,145
TLDO,TLDO: Offensive foul on TLDO Joseph Elias.,Foul,39,30,92,145
EMU,Danny Lamb Inside shot...Score!       Assisted by: Jonathan Mclaurine,Score,39,32,93,145
TLDO,Clifton Roberts 3-point attempt...Missed!       Rebounded by EMU Adalberto Salinas.,Miss,39,32,94,145
EMU,Andrew Flick 2-point jumper...Missed!       Rebounded by EMU Adalberto Salinas.,Score,39,32,95,145
EMU,Andrew Flick 2-point jumper...Missed!       Rebounded by EMU David Clausen.,Score,39,32,96,145
TLDO,Ronald Dankel steals the ball for TLDO!,Turnover,39,32,97,145
TLDO,Vijaya Alba Inside shot...Score!,Score,41,32,98,145
EMU,David Tolan 3-point attempt...Missed!Rebounded by TLDO Clifton Roberts.,Score,41,32,99,145
TLDO,Ronald Dankel Inside shot... Missed with a foul on the play.,Fouled,41,32,100,145
TLDO,Free throw coming up... good!,FreeThrow,42,32,100,145
TLDO,Free throw coming up... good!,FreeThrow,43,32,100,145
EMU,EMU: Shot clock violation on EMU Adalberto Salinas.,Turnover,43,32,101,145
TLDO,Steven Seeber 2-point jumper...BLOCKED by EMU Constantine Koontz.       Rebounded by TLDO David Armstrong.,Turnover,43,32,102,145
TLDO,Vijaya Alba Inside shot...Score!,Score,45,32,103,145
EMU,Andrew Flick 2-point jumper...Missed!       Rebounded by TLDO Vijaya Alba.,Score,45,32,104,145
TLDO,Vijaya Alba 2-point jumper...Missed!       Rebounded by EMU James Flynn.,Missed,45,32,105,145
EMU,James Mcdaniel Inside shot...Score!,Score,45,34,106,145
TLDO,Ronald Dankel 2-point jumper...Missed!       Rebounded by TLDO Ronald Dankel.,Missed,45,34,107,145
EMU,David Tolan steals the ball for EMU!,Turnover,45,34,108,145
EMU,David Clausen Inside shot...Score!,Score,45,36,109,145
TLDO,Perry Kiger 2-point jumper... Missed with a foul on the play.,Turnover,45,36,110,145
TLDO,Perry Kiger 2-point jumper... Missed with a foul on the play.,FreeThrow,46,36,110,145
TLDO,       Free throw coming up... rattled out.       Rebounded by TLDO David Armstrong.,Turnover,46,36,110,145
TLDO,David Armstrong 2-point jumper...Missed!       Rebounded by EMU Adalberto Salinas.,Missed,46,36,111,145
EMU,Scot Ayvazyan 2-point jumper...Missed!       Rebounded by TLDO Michael Poynter.,Score,46,36,112,145
TLDO,Perry Kiger Inside shot...Score!       Assisted by: Ronald Dankel,Score,48,36,113,145
EMU,Jonathan Mclaurine Inside shot...BLOCKED by Steven Seeber.       Rebounded by TLDO Ronald Dankel.,Turnover,48,36,114,145
TLDO,Gregory Ford 2-point jumper...Missed!       Rebounded by EMU Andrew Flick.,Missed,48,36,115,145
EMU,David Tolan Inside shot...Score!,Score,48,38,116,145
TLDO,Gregory Ford 3-point attempt...Score!       Assisted by: Joseph Elias,Score,51,38,117,145
EMU,EMU David Tolan lost the ball out of bounds.,Turnover,51,38,118,145
TLDO,Ronald Dankel 2-point jumper...Score!,Score,53,38,119,145
EMU,David Tolan 3-point attempt...Score!,Score,53,41,120,145
TLDO,Clifton Roberts Inside shot... Missed with a foul on the play.,Fouled,53,41,121,145
TLDO,Free throw coming up... good!,FreeThrow,54,41,121,145
TLDO,Free throw coming up... good!,FreeThrow,55,41,121,145
TLDO,Vijaya Alba steals the ball for TLDO!,Turnover,55,41,122,145
TLDO,Clifton Roberts 3-point attempt...Missed!       Rebounded by EMU Andrew Flick.,Miss,55,41,123,145
EMU,Scot Ayvazyan Inside shot...Score! Fouled and we have a free throw folks!       Assisted by: Jonathan Mclaurine,Score,55,43,124,145
EMU,Free throw coming up... good!,FreeThrow,55,44,124,145
TLDO,Gregory Ford Inside shot...Score!       Assisted by: Steven Seeber,Score,57,44,125,145
EMU,Jonathan Mclaurine Inside shot...Score!       Assisted by: Andrew Flick,Score,57,46,126,145
TLDO,Gregory Ford 2-point jumper...Missed!       Rebounded by TLDO Joseph Elias.,Missed,57,46,127,145
TLDO,Steven Seeber 3-point attempt...Missed!       Rebounded by EMU Adalberto Salinas.,Miss,57,46,128,145
TLDO,Gregory Ford steals the ball for TLDO!,Turnover,57,46,129,145
TLDO,Michael Poynter Inside shot...Score!       Assisted by: Clifton Roberts,Score,59,46,130,145
EMU,David Tolan 3-point attempt...Missed!       Rebounded by EMU David Tolan.,Score,59,46,131,145
EMU,EMU David Tolan lost the ball out of bounds.,Turnover,59,46,132,145
TLDO,TLDO Vijaya Alba lost the ball out of bounds.,Out of Bounds,59,46,133,145
EMU,EMU: Offensive foul on EMU James Mcdaniel.,Turnover,59,46,134,145
TLDO,Gregory Ford Inside shot... Missed with a foul on the play.,Fouled,59,46,135,145
TLDO,Free throw coming up... good!,FreeThrow,60,46,135,145
TLDO,Free throw coming up... good!,FreeThrow,61,46,135,145
EMU,Jonathan Mclaurine Inside shot...BLOCKED by Ronald Dankel.       Rebounded by EMU David Clausen.,Turnover,61,46,136,145
EMU,David Tolan 2-point jumper...BLOCKED by Steven Seeber.       Rebounded by TLDO Vijaya Alba.,Turnover,61,46,137,145
TLDO,Brian Larowe 3-point attempt...Score!,Score,64,46,138,145
TLDO,Joseph Elias steals the ball for TLDO!,Turnover,64,46,139,145
TLDO,Free throw coming up... good!,FreeThrow,65,46,140,145
TLDO,Free throw coming up... good!,FreeThrow,66,46,140,145
TLDO,Free throw coming up... good!,FreeThrow,67,46,140,145
EMU,Andrew Flick 2-point jumper...Missed!       Rebounded by TLDO Joseph Elias.,Score,67,46,141,145
TLDO,David Armstrong Inside shot...Score!       Assisted by: Gregory Ford,Score,69,46,142,145
EMU,Adalberto Salinas 2-point jumper...Missed!       Rebounded by TLDO Joseph Elias.,Score,69,46,143,145
TLDO,TLDO Michael Poynter lost the ball out of bounds.,Out of Bounds,69,46,144,145
EMU,James Mcdaniel 2-point jumper...Score!       Assisted by: Constantine Koontz,Score,69,48,145,145
TLDO,David Armstrong 2-point jumper...Missed!       Rebounded by EMU Adalberto Salinas.,Missed,69,48,146,145
,Match Complete,FinalScore,69,48,146,145
