HomeTeam,AwayTeam,HomeTeamScore,AwayTeamScore,Total Possessions
UAB,UTSA,51,74,147
""
Team,Result,PlayType,TeamOneScore,TeamTwoScore,Possession,Total Possessions
UTSA,UTSA wins the tipoff!,Tipoff,0,0,0,147
UTSA,Gregory Stephens 3-point attempt...Missed!Rebounded by UAB Young Tanaka.,Score,0,0,1,147
UAB,UAB: Offensive foul on UAB Michael Butler.,Foul,0,0,2,147
UTSA,Michael Johnson Inside shot...Score! Fouled and we have a free throw folks!,Score,0,2,3,147
UTSA,Free throw coming up... good!,FreeThrow,0,3,3,147
UTSA,Alejandro Flores steals the ball for UTSA!,Turnover,0,3,4,147
UTSA,Timothy Devoe Inside shot...Score!       Assisted by: Michael Johnson,Score,0,5,5,147
UTSA,John Serviss steals the ball for UTSA!,Turnover,0,5,6,147
UTSA,Timothy Devoe Inside shot...Score!       Assisted by: Philip Burton,Score,0,7,7,147
UAB,Lyndon Johnson Inside shot...Missed!       Rebounded by UTSA Andrew Martinez.,Score,0,7,8,147
UTSA,Andrew Martinez 2-point jumper...Score!       Assisted by: Alejandro Flores,Score,0,9,9,147
UAB,UAB: Offensive foul on UAB Michael Butler.,Foul,0,9,10,147
UTSA,Chao Tran 3-point attempt...Score!,Score,0,12,11,147
UAB,Paul Barnes 2-point jumper...Missed!       Rebounded by UTSA Gregory Stephens.,Missed,0,12,12,147
UTSA,UTSA: Offensive foul on UTSA Kevin Anderson.,Turnover,0,12,13,147
UAB,UAB: Offensive foul on UAB Kevin Harris.,Foul,0,12,14,147
UTSA,Matthew Briggs 2-point jumper...Missed!       Rebounded by UAB Lyndon Johnson.,Score,0,12,15,147
UAB,Herman Rios Inside shot...Score!       Assisted by: Michael Butler,Score,2,12,16,147
UTSA,Kelvin Ridley 3-point attempt...Score!       Assisted by: Kevin Anderson,Score,2,15,17,147
UAB,Michael Butler 3-point attempt...Score!       Assisted by: Young Tanaka,Score,5,15,18,147
UTSA,Herman Spencer 2-point jumper...Score!       Assisted by: Chao Tran,Score,5,17,19,147
UAB,Paul Barnes 2-point jumper...Score!       Assisted by: Michael Butler,Score,7,17,20,147
UTSA,Chao Tran 3-point attempt...Missed!Rebounded by UAB Young Tanaka.,Score,7,17,21,147
UAB,Herman Rios 2-point jumper...Missed!       Rebounded by UTSA Andrew Martinez.,Missed,7,17,22,147
UTSA,Chao Tran Inside shot...Score!,Score,7,19,23,147
UAB,Bryan Nichols 3-point attempt...Missed!       Rebounded by UAB Anthony Price.,Missed,7,19,24,147
UAB,Lyndon Johnson 2-point jumper...Missed!       Rebounded by UTSA Alejandro Flores.,Missed,7,19,25,147
UTSA,Matthew Briggs 2-point jumper...Missed!       Rebounded by UAB Bryan Nichols.,Score,7,19,26,147
UAB,Bryan Nichols Inside shot...Missed!       Rebounded by UAB Young Tanaka.,Score,7,19,28,147
UTSA,Alejandro Flores steals the ball for UTSA!,Turnover,7,19,29,147
UTSA,Philip Burton 3-point attempt...Score!       Assisted by: Timothy Devoe,Score,7,22,30,147
UAB,Bryan Nichols 2-point jumper...Missed!       Rebounded by UTSA Timothy Devoe.,Missed,7,22,31,147
