HomeTeam,AwayTeam,HomeTeamScore,AwayTeamScore,Total Possessions
UCLA,COLO,51,77,140
""
Team,Result,PlayType,TeamOneScore,TeamTwoScore,Possession,Total Possessions
COLO,COLO wins the tipoff!,Tipoff,0,0,0,140
COLO,COLO: Offensive foul on COLO Randy Parker.,Turnover,0,0,1,140
UCLA,Norman Johnson 2-point jumper...Missed!       Rebounded by COLO Randy Parker.,Missed,0,0,2,140
COLO,Mark Morris Inside shot...Score!       Assisted by: Olin Ring,Score,0,2,3,140
UCLA,David Blake Inside shot...Score!,Score,2,2,4,140
COLO,Olin Ring Inside shot...Score!,Score,2,4,5,140
UCLA,Cedric Stamps Inside shot...Score! Foul on the play and one!,Score,4,4,6,140
UCLA,Free throw coming up... good!,FreeThrow,5,4,6,140
COLO,Jonathan Hughes 2-point jumper...Missed!       Rebounded by UCLA Solomon Washington.,Score,5,4,7,140
UCLA,Norman Johnson 2-point jumper...Missed!       Rebounded by COLO Neville Isom.,Missed,5,4,8,140
COLO,Jonathan Hughes 3-point attempt...Missed!Rebounded by UCLA Daniel Musselwhite.,Score,5,4,9,140
UCLA,Jose Garcia Inside shot...Score! Foul on the play and one!,Score,7,4,10,140
UCLA,Free throw coming up... good!,FreeThrow,8,4,10,140
UCLA,Solomon Washington steals the ball for UCLA!,Turnover,8,4,11,140
COLO,Jonathan Hughes steals the ball for COLO!,Turnover,8,4,12,140
COLO,COLO: Offensive foul on COLO Jonathan Hughes.,Turnover,8,4,13,140
COLO,Nathan Soto steals the ball for COLO!,Turnover,8,4,14,140
UCLA,Daniel Musselwhite steals the ball for UCLA!,Turnover,8,4,15,140
UCLA,Carl Bolser 2-point jumper...Missed!       Rebounded by COLO Jonathan Hughes.,Missed,8,4,16,140
COLO,Olin Ring Inside shot...Score!,Score,8,6,17,140
UCLA,Carl Bolser 2-point jumper...Score!,Score,10,6,18,140
COLO,Neville Isom Inside shot...Score!,Score,10,8,19,140
UCLA,Eugene Mengel 2-point jumper...Missed!       Rebounded by UCLA Carl Bolser.,Missed,10,8,20,140
UCLA,Bret Smith Inside shot...Score!       Assisted by: Solomon Washington,Score,12,8,21,140
COLO,Ling Meza Inside shot...Score!,Score,12,10,22,140
UCLA,Carl Bolser 2-point jumper...Missed!       Rebounded by UCLA Eugene Mengel.,Missed,12,10,23,140
UCLA,Paul Hensley Inside shot...Score!,Score,14,10,24,140
COLO,COLO Neville Isom lost the ball out of bounds.,Turnover,14,10,25,140
UCLA,UCLA Carl Bolser lost the ball out of bounds.,Out of Bounds,14,10,26,140
UCLA,Solomon Washington steals the ball for UCLA!,Turnover,14,10,27,140
UCLA,Cedric Stamps Inside shot... Missed with a foul on the play.,Fouled,14,10,28,140
UCLA,Free throw coming up... good!,FreeThrow,15,10,28,140
UCLA,Free throw coming up... rattled out.       Rebounded by COLO Mark Morris.,FreeThrow,15,10,28,140
COLO,Randy Parker Inside shot...Score!,Score,15,12,29,140
UCLA,Daniel Musselwhite 3-point attempt...Missed!       Rebounded by COLO Neville Isom.,Miss,15,12,30,140
COLO,COLO Mark Morris lost the ball out of bounds.,Turnover,15,12,31,140
UCLA,UCLA Eugene Mengel lost the ball out of bounds.,Out of Bounds,15,12,32,140
COLO,Neville Isom Inside shot...Score!       Assisted by: Ling Meza,Score,15,14,33,140
UCLA,Norman Johnson 2-point jumper...Missed!       Rebounded by COLO Neville Isom.,Missed,15,14,34,140
COLO,Nathan Soto 2-point jumper...Missed!       Rebounded by UCLA Jose Garcia.,Score,15,14,35,140
UCLA,Jared Hansford 2-point jumper...Missed!       Rebounded by UCLA Norman Johnson.,Missed,15,14,36,140
UCLA,Bret Smith 2-point jumper...Missed!       Rebounded by COLO Ling Meza.,Missed,15,14,37,140
COLO,Randy Parker Inside shot...Missed!       Rebounded by UCLA Norman Johnson.,Score,15,14,38,140
UCLA,UCLA: Offensive foul on UCLA Cedric Stamps.,Foul,15,14,39,140
COLO,Randy Parker Inside shot...Missed!       Rebounded by COLO Ling Meza.,Score,15,14,40,140
COLO,Arthur Carter 2-point jumper...Missed!       Rebounded by UCLA Eugene Mengel.,Score,15,14,41,140
UCLA,Bret Smith Inside shot...Score!,Score,17,14,42,140
COLO,Randy Parker Inside shot...Score!       Assisted by: Neville Isom,Score,17,16,43,140
COLO,Neville Isom steals the ball for COLO!,Turnover,17,16,44,140
COLO,Jonathan Hughes Inside shot...Score!,Score,17,18,45,140
UCLA,David Blake 2-point jumper...Score!,Score,19,18,46,140
COLO,Ling Meza Inside shot...Score!       Assisted by: Olin Ring,Score,19,20,47,140
UCLA,Eugene Mengel 2-point jumper...Score!       Assisted by: Solomon Washington,Score,21,20,48,140
COLO,Olin Ring Inside shot...Score!       Assisted by: Isaac Jones,Score,21,22,49,140
UCLA,Cedric Stamps Inside shot...BLOCKED by COLO Ling Meza.       Rebounded by COLO Olin Ring.,Turnover,21,22,50,140
COLO,Neville Isom Inside shot...Score!       Assisted by: Olin Ring,Score,21,24,51,140
UCLA,UCLA Eugene Mengel lost the ball out of bounds.,Out of Bounds,21,24,52,140
COLO,Neville Isom 3-point attempt...Missed!Rebounded by UCLA Bret Smith.,Score,21,24,53,140
UCLA,UCLA: Offensive foul on UCLA Eugene Mengel.,Foul,21,24,54,140
COLO,Olin Ring 3-point attempt...Score!       Assisted by: Mark Morris,Score,21,27,55,140
UCLA,David Blake Inside shot... Missed with a foul on the play.,Fouled,21,27,56,140
UCLA,Free throw coming up... good!,FreeThrow,22,27,56,140
UCLA,Free throw coming up... good!,FreeThrow,23,27,56,140
COLO,Ling Meza Inside shot...Score! Fouled and we have a free throw folks!       Assisted by: Neville Isom,Score,23,29,57,140
COLO,Free throw coming up... good!,FreeThrow,23,30,57,140
UCLA,Jose Garcia Inside shot...Score!,Score,25,30,58,140
COLO,Neville Isom 2-point jumper...Missed!       Rebounded by COLO Ling Meza.,Score,25,30,59,140
COLO,Neville Isom 3-point attempt...Score!       Assisted by: Mark Morris,Score,25,33,60,140
UCLA,UCLA Bret Smith lost the ball out of bounds.,Out of Bounds,25,33,61,140
COLO,Ling Meza Inside shot...Score!       Assisted by: Jonathan Hughes,Score,25,35,62,140
UCLA,Eugene Mengel 2-point jumper...Score!       Assisted by: Bret Smith,Score,27,35,63,140
COLO,Randy Parker 2-point jumper...Missed!       Rebounded by UCLA Bret Smith.,Score,27,35,64,140
UCLA,UCLA: Offensive foul on UCLA Bret Smith.,Foul,27,35,65,140
COLO,COLO Jonathan Hughes lost the ball out of bounds.,Turnover,27,35,66,140
COLO,Jonathan Hughes steals the ball for COLO!,Turnover,27,35,67,140
COLO,Olin Ring 2-point jumper...Missed!       Rebounded by COLO Olin Ring.,Score,27,35,68,140
COLO,Ling Meza 3-point attempt...Score!       Assisted by: Neville Isom,Score,27,38,69,140
UCLA,Solomon Washington Inside shot...Score!       Assisted by: Carl Bolser,Score,29,38,70,140
,,HALFTIME,29,38,70,140
COLO,Neville Isom 3-point attempt...Score!       Assisted by: Nathan Soto,Score,29,41,71,140
UCLA,Jose Garcia Inside shot... Missed with a foul on the play.,Fouled,29,41,72,140
UCLA,Free throw coming up... good!,FreeThrow,30,41,72,140
COLO,Ling Meza 2-point jumper...BLOCKED by Solomon Washington.       Rebounded by COLO Neville Isom.,Turnover,30,41,73,140
COLO,COLO: Offensive foul on COLO Randy Parker.,Turnover,30,41,74,140
UCLA,UCLA: Offensive foul on UCLA Solomon Washington.,Foul,30,41,75,140
COLO,Randy Parker Inside shot...Score!,Score,30,43,76,140
UCLA,David Blake 2-point jumper...Score!       Assisted by: Jared Hansford,Score,32,43,77,140
COLO,Ling Meza Inside shot...Score!       Assisted by: Jonathan Hughes,Score,32,45,78,140
UCLA,UCLA Daniel Musselwhite lost the ball out of bounds.,Out of Bounds,32,45,79,140
COLO,Ling Meza 2-point jumper...Score!,Score,32,47,80,140
COLO,Nathan Soto steals the ball for COLO!,Turnover,32,47,81,140
COLO,Mark Morris Inside shot...Score!,Score,32,49,82,140
UCLA,Solomon Washington 2-point jumper...Score!,Score,34,49,83,140
COLO,Ling Meza 3-point attempt...Missed!Rebounded by UCLA Carl Bolser.,Score,34,49,84,140
UCLA,UCLA David Blake lost the ball out of bounds.,Out of Bounds,34,49,85,140
COLO,Ling Meza 2-point jumper...Missed!       Rebounded by COLO Ling Meza.,Score,34,49,87,140
COLO,Neville Isom 3-point attempt...Missed!Rebounded by UCLA Norman Johnson.,Score,34,49,88,140
UCLA,Paul Hensley Inside shot...Score!,Score,36,49,89,140
COLO,Neville Isom 3-point attempt...Score!       Assisted by: Jonathan Hughes,Score,36,52,90,140
UCLA,UCLA Norman Johnson lost the ball out of bounds.,Out of Bounds,36,52,91,140
COLO,Nathan Soto Inside shot...Score!,Score,36,54,92,140
UCLA,UCLA Eugene Mengel lost the ball out of bounds.,Out of Bounds,36,54,93,140
COLO,Neville Isom 2-point jumper...Missed!       Rebounded by COLO Mark Morris.,Score,36,54,94,140
UCLA,Carl Bolser steals the ball for UCLA!,Turnover,36,54,95,140
UCLA,Cedric Stamps 2-point jumper...Missed!       Rebounded by COLO Olin Ring.,Missed,36,54,96,140
COLO,Jonathan Hughes 2-point jumper...Score!,Score,36,56,97,140
UCLA,Eugene Mengel 3-point attempt...Missed!       Rebounded by COLO Jonathan Hughes.,Miss,36,56,98,140
COLO,Neville Isom 2-point jumper...Missed!       Rebounded by COLO Randy Parker.,Score,36,56,99,140
UCLA,Bret Smith steals the ball for UCLA!,Turnover,36,56,100,140
UCLA,Carl Bolser Inside shot...Missed!       Rebounded by UCLA Cedric Stamps.,Score,36,56,101,140
UCLA,Bret Smith 2-point jumper...Missed!       Rebounded by COLO Jonathan Hughes.,Missed,36,56,103,140
COLO,Olin Ring Inside shot...Missed!       Rebounded by UCLA Norman Johnson.,Score,36,56,104,140
