HomeTeam,AwayTeam,HomeTeamScore,AwayTeamScore,Total Possessions
CONN,CREI,71,62,144
""
Team,Result,PlayType,TeamOneScore,TeamTwoScore,Possession,Total Possessions
CONN,CONN wins the tipoff!,Tipoff,0,0,0,144
CONN,Kenneth Harris Inside shot...Score!       Assisted by: Marion Jackson,Score,2,0,1,144
CREI,CREI Thomas Winn lost the ball out of bounds.,Turnover,2,0,2,144
CONN,Michael Gabriel 2-point jumper...Score!       Assisted by: William Bender,Score,4,0,3,144
CREI,Rick Mcguinness 3-point attempt...Score!       Assisted by: Thomas Winn,Score,4,3,4,144
CREI,Chris Be steals the ball for CREI!,Turnover,4,3,5,144
CREI,CREI Brandon Dahal lost the ball out of bounds.,Turnover,4,3,6,144
CONN,Michael Gabriel Inside shot...BLOCKED by CREI Peter Armitage.       Rebounded by CREI John Anderson.,Turnover,4,3,7,144
CREI,Thomas Winn 3-point attempt...Score!       Assisted by: Rick Mcguinness,Score,4,6,8,144
CONN,Alvaro Rodriguez 2-point jumper...Missed!       Rebounded by CREI Chris Be.,Missed,4,6,9,144
CREI,CREI: Offensive foul on CREI James Pinkus.,Turnover,4,6,10,144
CONN,Marion Jackson Inside shot... Missed with a foul on the play.,Fouled,4,6,11,144
CONN,Free throw coming up... good!,FreeThrow,5,6,11,144
CONN,Free throw coming up... rattled out.       Rebounded by CONN Clifford Wright.,FreeThrow,5,6,11,144
CONN,Clifford Wright 2-point jumper...Missed!       Rebounded by CONN Reginald Trimble.,Missed,5,6,12,144
CONN,Marion Jackson Inside shot...Score!,Score,7,6,13,144
CREI,Ricky Edwards 2-point jumper...Missed!       Rebounded by CONN Marion Jackson.,Score,7,6,14,144
CONN,George Marquis 2-point jumper...Missed!       Rebounded by CREI Thomas Winn.,Missed,7,6,15,144
CREI,Peter Armitage 3-point attempt...Missed!       Rebounded by CREI James Pinkus.,Score,7,6,16,144
CONN,Michael Gabriel steals the ball for CONN!,Turnover,7,6,17,144
CONN,Kenneth Harris Inside shot... Missed with a foul on the play.,Fouled,7,6,18,144
CONN,Free throw coming up... rattled out.       Rebounded by CONN Michael Foster.,FreeThrow,7,6,18,144
CONN,Alan Phan Inside shot...Score!,Score,9,6,19,144
CREI,Chris Be 3-point attempt...Score!       Assisted by: Brandon Dahal,Score,9,9,20,144
CONN,George Marquis Inside shot...Score!,Score,11,9,21,144
CREI,Brandon Dahal Inside shot...Score!,Score,11,11,22,144
CONN,Michael Foster 3-point attempt...Missed!       Rebounded by CREI James Pinkus.,Miss,11,11,23,144
CREI,Peter Armitage Inside shot...Score!       Assisted by: Chris Be,Score,11,13,24,144
CONN,Michael Gabriel Inside shot... Missed with a foul on the play.,Fouled,11,13,25,144
CONN,Free throw coming up... good!,FreeThrow,12,13,25,144
CREI,Walter Rodger Inside shot... Missed but with a foul on the play.,Fouled,12,13,26,144
