HomeTeam,AwayTeam,HomeTeamScore,AwayTeamScore,Total Possessions
USC,ORST,59,62,145
""
Team,Result,PlayType,TeamOneScore,TeamTwoScore,Possession,Total Possessions
ORST,ORST wins the tipoff!,Tipoff,0,0,0,145
ORST,ORST Esteban Velazquez lost the ball out of bounds.,Turnover,0,0,1,145
USC,Kulwinder Lau 2-point jumper...Missed!       Rebounded by ORST Michael Logan.,Missed,0,0,2,145
ORST,Andrew Logan 3-point attempt...Missed!       Rebounded by ORST Stephen Mccarthy.,Score,0,0,3,145
ORST,James Rooney 2-point jumper...Missed!       Rebounded by ORST Stephen Mccarthy.,Score,0,0,4,145
ORST,Marc Ruberto Inside shot...Score!,Score,0,2,5,145
USC,Gordon Rau 2-point jumper...Missed!       Rebounded by ORST Nathan Samek.,Missed,0,2,6,145
ORST,Michael Logan Inside shot...Score!,Score,0,4,7,145
USC,Eric Lopez 2-point jumper...Score!,Score,2,4,8,145
ORST,Marc Ruberto Inside shot... Missed but with a foul on the play.,Fouled,2,4,9,145
ORST,Free throw coming up... good!,FreeThrow,2,5,9,145
ORST,Free throw coming up... good!,FreeThrow,2,6,9,145
USC,Jeffrey Clark 3-point attempt...Missed!       Rebounded by ORST Esteban Velazquez.,Miss,2,6,10,145
ORST,Stephen Mccarthy Inside shot... Missed but with a foul on the play.,Fouled,2,6,11,145
ORST,Free throw coming up... good!,FreeThrow,2,7,11,145
ORST,Free throw coming up... rattled out.       Rebounded by ORST Michael Logan.,FreeThrow,2,7,11,145
ORST,Jeffery Mccusker Inside shot...Score!,Score,2,9,12,145
USC,USC Ryan Foley lost the ball out of bounds.,Out of Bounds,2,9,13,145
ORST,ORST Nathan Samek lost the ball out of bounds.,Turnover,2,9,14,145
USC,Gordon Rau 2-point jumper...Missed!       Rebounded by ORST Esteban Velazquez.,Missed,2,9,15,145
ORST,Ryan Chai Inside shot...Score!,Score,2,11,16,145
USC,Ryan Foley 2-point jumper...Score!,Score,4,11,17,145
ORST,Gregory Harris 2-point jumper...Missed!       Rebounded by USC David Gee.,Score,4,11,18,145
USC,Eric Lopez Inside shot...Score!,Score,6,11,19,145
ORST,Alfred Benning Inside shot...Score!,Score,6,13,20,145
USC,Free throw coming up... rattled out.,FreeThrow,6,13,22,145
USC,Free throw coming up... good!,FreeThrow,7,13,22,145
USC,Free throw coming up... good!,FreeThrow,8,13,22,145
ORST,Richard Broyles 2-point jumper...Missed!       Rebounded by ORST Gregory Harris.,Score,8,13,23,145
USC,David Gee steals the ball for USC!,Turnover,8,13,24,145
USC,Jeffrey Clark Inside shot...Score!,Score,10,13,25,145
ORST,Alfred Benning 3-point attempt...Score!       Assisted by: Gregory Harris,Score,10,16,26,145
USC,Ryan Foley Inside shot...Score!       Assisted by: Don Burtner,Score,12,16,27,145
ORST,Marc Ruberto 2-point jumper...Missed!       Rebounded by USC Ryan Foley.,Score,12,16,28,145
USC,David Gee 2-point jumper...Missed!       Rebounded by ORST Vincent Hopper.,Missed,12,16,29,145
ORST,Stephen Mccarthy 3-point attempt...Missed!Rebounded by USC Stan Roberts.,Score,12,16,30,145
USC,Don Burtner Inside shot...Score!,Score,14,16,31,145
ORST,Gregory Harris 2-point jumper...Missed!       Rebounded by USC Gordon Rau.,Score,14,16,32,145
USC,Robert Vadnais 3-point attempt...Score!       Assisted by: Don Burtner,Score,17,16,33,145
ORST,Gregory Harris Inside shot...Score!,Score,17,18,34,145
USC,USC Gordon Rau lost the ball out of bounds.,Out of Bounds,17,18,35,145
ORST,Vincent Hopper Inside shot...Score!,Score,17,20,36,145
USC,Jeffrey Clark Inside shot...Missed!       Rebounded by ORST Gregory Harris.,Score,17,20,37,145
