HomeTeam,AwayTeam,HomeTeamScore,AwayTeamScore,Total Possessions
VILL,GEOT,75,68,151
""
Team,Result,PlayType,TeamOneScore,TeamTwoScore,Possession,Total Possessions
VILL,VILL wins the tipoff!,Tipoff,0,0,0,151
VILL,Michael Ruiz 2-point jumper... Missed with a foul on the play.,Turnover,0,0,1,151
VILL,Michael Ruiz 2-point jumper... Missed with a foul on the play.,FreeThrow,1,0,1,151
GEOT,Stefan Ligon Inside shot...Missed!       Rebounded by VILL Antonio Will.,Score,1,0,2,151
VILL,Michael Ruiz 2-point jumper...BLOCKED by GEOT Delmar Gould.       Rebounded by VILL Brian Bennett.,Turnover,1,0,3,151
GEOT,Stefan Ligon steals the ball for GEOT!,Turnover,1,0,4,151
GEOT,Donald Robinson 3-point attempt...Missed!       Rebounded by GEOT Aaron Perry.,Score,1,0,5,151
GEOT,John Hernandez Inside shot...Score!,Score,1,2,6,151
VILL,Albert Dvorak 2-point jumper...Missed!       Rebounded by VILL Brian Bennett.,Missed,1,2,7,151
VILL,David Deoliveira Inside shot...Score!       Assisted by: Michael Ruiz,Score,3,2,8,151
VILL,Darrell Schoenthaler steals the ball for VILL!,Turnover,3,2,9,151
VILL,Darrell Schoenthaler 2-point jumper...BLOCKED by GEOT Harold Brady.       Rebounded by GEOT Delmar Gould.,Turnover,3,2,10,151
GEOT,Roland Lopez Inside shot...Score! Fouled and we have a free throw folks!,Score,3,4,11,151
GEOT,Free throw coming up... good!,FreeThrow,3,5,11,151
VILL,Vaughn Way Inside shot...Score!,Score,5,5,12,151
GEOT,Delmar Gould Inside shot...Missed!       Rebounded by VILL Darrell Schoenthaler.,Score,5,5,13,151
VILL,Ronaldo Khan 3-point attempt...Missed!       Rebounded by GEOT Delmar Gould.,Miss,5,5,14,151
GEOT,Chase Kiefer 2-point jumper...Missed!       Rebounded by VILL Antonio Will.,Score,5,5,15,151
VILL,Brian Bennett 2-point jumper...Missed!       Rebounded by GEOT Donald Robinson.,Missed,5,5,16,151
GEOT,Stefan Ligon Inside shot...Score!,Score,5,7,17,151
VILL,Albert Dvorak 2-point jumper...Score!,Score,7,7,18,151
GEOT,GEOT Delmar Gould lost the ball out of bounds.,Turnover,7,7,19,151
VILL,Peter Ryan Inside shot...Score!,Score,9,7,20,151
GEOT,Aaron Perry 3-point attempt...Missed!Rebounded by VILL Antonio Will.,Score,9,7,21,151
VILL,Antonio Will 2-point jumper...Missed!       Rebounded by GEOT Delmar Gould.,Missed,9,7,22,151
GEOT,GEOT: Offensive foul on GEOT Delmar Gould.,Turnover,9,7,23,151
VILL,Vaughn Way Inside shot...Score!       Assisted by: Michael Deluise,Score,11,7,24,151
GEOT,Luis Franklin Inside shot...Score!,Score,11,9,25,151
GEOT,Harold Brady steals the ball for GEOT!,Turnover,11,9,26,151
GEOT,Aaron Perry 3-point attempt...Missed!Rebounded by VILL Vaughn Way.,Score,11,9,27,151
VILL,Michael Ruiz Inside shot...BLOCKED by GEOT Aaron Perry.       Rebounded by VILL Arturo Vazquez.,Turnover,11,9,28,151
VILL,Brian Bennett Inside shot...Score!       Assisted by: Darrell Schoenthaler,Score,13,9,29,151
VILL,Peter Ryan steals the ball for VILL!,Turnover,13,9,30,151
GEOT,Chase Kiefer steals the ball for GEOT!,Turnover,13,9,31,151
GEOT,Delmar Gould 2-point jumper...Missed!       Rebounded by GEOT Donald Robinson.,Score,13,9,32,151
GEOT,Stefan Ligon 2-point jumper...Missed!       Rebounded by VILL Vaughn Way.,Score,13,9,33,151
VILL,Brian Bennett Inside shot...Score!,Score,15,9,34,151
VILL,Vaughn Way steals the ball for VILL!,Turnover,15,9,35,151
VILL,Brian Bennett Inside shot...BLOCKED by GEOT Donald Robinson.       Rebounded by GEOT Chase Kiefer.,Turnover,15,9,36,151
GEOT,Donald Robinson Inside shot...Score! Fouled and we have a free throw folks!       Assisted by: Harold Brady,Score,15,11,37,151
GEOT,Free throw coming up... good!,FreeThrow,15,12,37,151
VILL,VILL: Offensive foul on VILL Darrell Schoenthaler.,Foul,15,12,38,151
VILL,Vaughn Way steals the ball for VILL!,Turnover,15,12,39,151
VILL,VILL Vaughn Way lost the ball out of bounds.,Out of Bounds,15,12,40,151
GEOT,GEOT: Offensive foul on GEOT John Hernandez.,Turnover,15,12,41,151
VILL,Peter Ryan 2-point jumper...Missed!       Rebounded by GEOT Delmar Gould.,Missed,15,12,42,151
GEOT,GEOT Harold Brady lost the ball out of bounds.,Turnover,15,12,43,151
GEOT,Delmar Gould steals the ball for GEOT!,Turnover,15,12,44,151
GEOT,Harold Brady 3-point attempt...Score!       Assisted by: Richard Sanders,Score,15,15,45,151
VILL,Vaughn Way Inside shot...Score!       Assisted by: Brian Bennett,Score,17,15,46,151
GEOT,Aaron Perry Inside shot... Missed but with a foul on the play.,Fouled,17,15,47,151
GEOT,Free throw coming up... rattled out.,FreeThrow,17,15,47,151
GEOT,Free throw coming up... good!,FreeThrow,17,16,47,151
VILL,Antonio Will 3-point attempt...Score!,Score,20,16,48,151
VILL,Michael Katinas steals the ball for VILL!,Turnover,20,16,49,151
VILL,VILL: Offensive foul on VILL Arturo Vazquez.,Foul,20,16,50,151
GEOT,Delmar Gould 2-point jumper...Score!       Assisted by: Harold Brady,Score,20,18,51,151
VILL,Arturo Vazquez 2-point jumper...BLOCKED by GEOT Aaron Perry.       Rebounded by GEOT Aaron Perry.,Turnover,20,18,52,151
GEOT,Luis Franklin 3-point attempt...Score!       Assisted by: Harold Brady,Score,20,21,53,151
VILL,VILL: Shot clock violation on VILL Michael Ruiz.,Shot Clock Violation,20,21,54,151
GEOT,Donald Robinson Inside shot...Score!       Assisted by: Harold Brady,Score,20,23,55,151
VILL,Antonio Will 2-point jumper...Missed!       Rebounded by GEOT Delmar Gould.,Missed,20,23,56,151
GEOT,Delmar Gould 2-point jumper...Missed!       Rebounded by VILL Peter Ryan.,Score,20,23,57,151
VILL,Peter Ryan 3-point attempt...Score!       Assisted by: Arturo Vazquez,Score,23,23,58,151
GEOT,Chase Kiefer 3-point attempt...Missed!Rebounded by VILL Vaughn Way.,Score,23,23,59,151
GEOT,Donald Robinson steals the ball for GEOT!,Turnover,23,23,60,151
GEOT,GEOT: Offensive foul on GEOT Chase Kiefer.,Turnover,23,23,61,151
VILL,Brian Bennett Inside shot... Missed with a foul on the play.,Fouled,23,23,62,151
VILL,Free throw coming up... good!,FreeThrow,24,23,62,151
VILL,Free throw coming up... good!,FreeThrow,25,23,62,151
GEOT,Aaron Perry 2-point jumper...Missed!       Rebounded by VILL Michael Deluise.,Score,25,23,63,151
VILL,Michael Ruiz 2-point jumper...Missed!       Rebounded by GEOT Harold Brady.,Missed,25,23,64,151
GEOT,Aaron Perry Inside shot...Score! Fouled and we have a free throw folks!       Assisted by: Harold Brady,Score,25,25,65,151
GEOT,Free throw coming up... good!,FreeThrow,25,26,65,151
VILL,Albert Dvorak 3-point attempt...Score!       Assisted by: Arturo Vazquez,Score,28,26,66,151
GEOT,Delmar Gould Inside shot...BLOCKED by Darrell Schoenthaler.       Rebounded by GEOT Harold Brady.,Turnover,28,26,67,151
GEOT,Chase Kiefer 2-point jumper...Score!,Score,28,28,68,151
VILL,Brian Bennett 3-point attempt...Score!       Assisted by: Antonio Will,Score,31,28,69,151
GEOT,Harold Brady 3-point attempt...Missed!       Rebounded by GEOT Delmar Gould.,Score,31,28,70,151
GEOT,John Hernandez Inside shot...Missed!       Rebounded by GEOT Donald Robinson.,Score,31,28,71,151
VILL,Michael Deluise steals the ball for VILL!,Turnover,31,28,72,151
VILL,Brian Bennett Inside shot...Score!,Score,33,28,73,151
GEOT,GEOT Aaron Perry lost the ball out of bounds.,Turnover,33,28,74,151
VILL,Antonio Will Inside shot...Score!,Score,35,28,75,151
,,HALFTIME,35,28,75,151
GEOT,Chase Kiefer Inside shot...Score!       Assisted by: Harold Brady,Score,35,30,76,151
VILL,Vaughn Way Inside shot...BLOCKED by GEOT Roland Lopez.       Rebounded by VILL Darrell Schoenthaler.,Turnover,35,30,77,151
VILL,Michael Katinas 3-point attempt...Score!       Assisted by: Michael Ruiz,Score,38,30,78,151
GEOT,Richard Sanders Inside shot...Score!,Score,38,32,79,151
VILL,Michael Deluise 2-point jumper...Score!,Score,40,32,80,151
VILL,Darrell Schoenthaler steals the ball for VILL!,Turnover,40,32,81,151
GEOT,Chase Kiefer steals the ball for GEOT!,Turnover,40,32,82,151
GEOT,GEOT: Offensive foul on GEOT Chase Kiefer.,Turnover,40,32,83,151
VILL,Darrell Schoenthaler 2-point jumper...Score!       Assisted by: Peter Ryan,Score,42,32,84,151
GEOT,Donald Robinson 3-point attempt...Score!       Assisted by: Delmar Gould,Score,42,35,85,151
VILL,Arturo Vazquez 2-point jumper...Missed!       Rebounded by GEOT Aaron Perry.,Missed,42,35,86,151
GEOT,Donald Robinson Inside shot...Score!,Score,42,37,87,151
VILL,David Deoliveira Inside shot...Score!,Score,44,37,88,151
GEOT,GEOT: Shot clock violation on GEOT Delmar Gould.,Turnover,44,37,89,151
VILL,Antonio Will Inside shot...Score!       Assisted by: Albert Dvorak,Score,46,37,90,151
GEOT,Delmar Gould 2-point jumper...Missed!       Rebounded by VILL Antonio Will.,Score,46,37,91,151
VILL,David Deoliveira 2-point jumper...Score!       Assisted by: Vladimir Youngblom,Score,48,37,92,151
