HomeTeam,AwayTeam,HomeTeamScore,AwayTeamScore,Total Possessions
WAST,WASH,64,56,133
""
Team,Result,PlayType,TeamOneScore,TeamTwoScore,Possession,Total Possessions
WAST,WAST wins the tipoff!,Tipoff,0,0,0,133
WAST,Free throw coming up... good!,FreeThrow,1,0,1,133
WAST,Free throw coming up... good!,FreeThrow,2,0,1,133
WAST,Free throw coming up... rattled out.       Rebounded by WASH Brian Jones.,FreeThrow,2,0,1,133
WASH,Jonathan Reinhardt 2-point jumper...Missed!       Rebounded by WAST Jordon Thacker.,Score,2,0,2,133
WAST,Randy Russell Inside shot... Missed with a foul on the play.,Fouled,2,0,3,133
WAST,Free throw coming up... good!,FreeThrow,3,0,3,133
WAST,Free throw coming up... good!,FreeThrow,4,0,3,133
WASH,James Exum Inside shot...Missed!       Rebounded by WAST Randy Russell.,Score,4,0,4,133
WASH,Rickey Lloyd steals the ball for WASH!,Turnover,4,0,5,133
WASH,WASH: Shot clock violation on WASH Michael Crook.,Turnover,4,0,6,133
WAST,Randy Russell Inside shot...Score!,Score,6,0,7,133
WASH,WASH Christopher James lost the ball out of bounds.,Turnover,6,0,8,133
WAST,Wallace Crawford Inside shot...Score!,Score,8,0,9,133
WASH,James Exum 3-point attempt...Score!       Assisted by: Rickey Lloyd,Score,8,3,10,133
WAST,Ian Elmore 3-point attempt...Score!,Score,11,3,11,133
WASH,Jonathan Reinhardt Inside shot...Score!       Assisted by: James Exum,Score,11,5,12,133
WAST,Bradley Lloyd Inside shot...BLOCKED by WASH Jonathan Reinhardt.       Rebounded by WASH Mark Schreiber.,Turnover,11,5,13,133
WASH,Christopher James Inside shot...Score!       Assisted by: Emanuel Haywood,Score,11,7,14,133
WAST,WAST: Offensive foul on WAST Joe Morgan.,Foul,11,7,15,133
WASH,Michael Crook 2-point jumper...Missed!       Rebounded by WAST Shirley Minnick.,Score,11,7,16,133
WAST,Shirley Minnick Inside shot...Score!       Assisted by: Randy Russell,Score,13,7,17,133
WASH,James Exum Inside shot...Score!,Score,13,9,18,133
WAST,Bradley Lloyd Inside shot... Missed with a foul on the play.,Fouled,13,9,19,133
WAST,Free throw coming up... good!,FreeThrow,14,9,19,133
WAST,Free throw coming up... good!,FreeThrow,15,9,19,133
WASH,Brian Jones 2-point jumper...BLOCKED by Jordon Thacker.       Rebounded by WASH Thomas Torcivia.,Turnover,15,9,20,133
