HomeTeam,AwayTeam,HomeTeamScore,AwayTeamScore,Total Possessions
WVU,OKST,61,72,151
""
Team,Result,PlayType,TeamOneScore,TeamTwoScore,Possession,Total Possessions
OKST,OKST wins the tipoff!,Tipoff,0,0,0,151
OKST,Paulo Quiroga Inside shot...Score!,Score,0,2,1,151
WVU,WVU Clarence Murphy lost the ball out of bounds.,Out of Bounds,0,2,2,151
OKST,Jamie Parker 2-point jumper...Score!       Assisted by: Paulo Quiroga,Score,0,4,3,151
WVU,Michael Palmer 2-point jumper...Missed!       Rebounded by OKST Jan Schrum.,Missed,0,4,4,151
OKST,Jesse Tarr 3-point attempt...Missed!Rebounded by WVU Lucas Rowe.,Score,0,4,5,151
WVU,Mark Tomaskovic 3-point attempt...Missed!       Rebounded by OKST John Liu.,Miss,0,4,6,151
OKST,Christopher Railey 2-point jumper...BLOCKED by Mark Tomaskovic.       Rebounded by WVU Rufus Fletcher.,Turnover,0,4,7,151
WVU,Lucas Rowe 2-point jumper...Score!       Assisted by: Francis Bowie,Score,2,4,8,151
WVU,Donald Pannell steals the ball for WVU!,Turnover,2,4,9,151
WVU,Donald Pannell 3-point attempt...Missed!       Rebounded by OKST James Brown.,Miss,2,4,10,151
OKST,Charles Mccarty 2-point jumper...Score!,Score,2,6,11,151
WVU,Lucas Rowe 3-point attempt...Score!       Assisted by: Michael Palmer,Score,5,6,12,151
OKST,John Liu 3-point attempt...Score!       Assisted by: James Brown,Score,5,9,13,151
WVU,Michael Palmer 3-point attempt...Missed!       Rebounded by OKST Jan Schrum.,Miss,5,9,14,151
OKST,Charles Mccarty 2-point jumper...BLOCKED by Francis Bowie.       Rebounded by OKST Paulo Quiroga.,Turnover,5,9,15,151
OKST,Paulo Quiroga Inside shot...Score!,Score,5,11,16,151
WVU,Mark Tomaskovic 3-point attempt...Missed!       Rebounded by OKST Jamie Parker.,Miss,5,11,17,151
OKST,James Brown 3-point attempt...Missed!Rebounded by WVU Lucas Rowe.,Score,5,11,18,151
OKST,Jamie Parker steals the ball for OKST!,Turnover,5,11,19,151
OKST,Jesse Tarr 2-point jumper...Score!,Score,5,13,20,151
WVU,Francis Bowie 3-point attempt...Missed!       Rebounded by OKST Jan Schrum.,Miss,5,13,21,151
WVU,Clarence Murphy steals the ball for WVU!,Turnover,5,13,22,151
WVU,Mark Tomaskovic 2-point jumper...Score!,Score,7,13,23,151
OKST,Jesse Tarr Inside shot...Score!,Score,7,15,25,151
WVU,Clarence Murphy 3-point attempt...Score!       Assisted by: Francis Bowie,Score,10,15,26,151
WVU,Lucas Rowe steals the ball for WVU!,Turnover,10,15,27,151
