HomeTeam,AwayTeam,HomeTeamScore,AwayTeamScore,Total Possessions
WISC,RUTG,63,55,142
""
Team,Result,PlayType,TeamOneScore,TeamTwoScore,Possession,Total Possessions
WISC,WISC wins the tipoff!,Tipoff,0,0,0,142
WISC,Ralph Long 2-point jumper...Score!,Score,2,0,1,142
RUTG,David Groce Inside shot...Score!       Assisted by: Myron Cerroni,Score,2,2,2,142
WISC,Roy Barnes 2-point jumper...Score!       Assisted by: Ralph Long,Score,4,2,3,142
RUTG,David Groce Inside shot...BLOCKED by Armando Pope.       Rebounded by WISC Craig Mitchell.,Turnover,4,2,4,142
WISC,Nicholas Mitchell 2-point jumper...BLOCKED by RUTG Karl Hansen.       Rebounded by RUTG Brett Nelsen.,Turnover,4,2,5,142
RUTG,David Groce 2-point jumper...Missed!       Rebounded by RUTG Brett Nelsen.,Score,4,2,6,142
RUTG,Donald Bridges 2-point jumper...Missed!       Rebounded by WISC Jeramy Booth.,Score,4,2,7,142
WISC,Amos Quinn 3-point attempt...Missed!       Rebounded by RUTG Stephen Borg.,Miss,4,2,8,142
RUTG,Daniel West 2-point jumper...Score!,Score,4,4,9,142
WISC,Armando Pope Inside shot...Score! Foul on the play and one!,Score,6,4,10,142
WISC,Free throw coming up... rattled out.       Rebounded by RUTG Shad Phillips.,FreeThrow,6,4,10,142
WISC,Craig Mitchell steals the ball for WISC!,Turnover,6,4,11,142
WISC,William Sun Inside shot...Score!       Assisted by: Ralph Long,Score,8,4,12,142
RUTG,Marion Brown 3-point attempt...Missed!       Rebounded by RUTG Gerald Brown.,Score,8,4,13,142
RUTG,Myron Cerroni Inside shot...Score!,Score,8,6,14,142
WISC,Nicholas Mitchell 2-point jumper...Score!,Score,10,6,15,142
WISC,Craig Mitchell steals the ball for WISC!,Turnover,10,6,16,142
WISC,Andrew Jones Inside shot...Score!       Assisted by: Ralph Long,Score,12,6,17,142
RUTG,Daniel West Inside shot... Missed but with a foul on the play.,Fouled,12,6,18,142
RUTG,Free throw coming up... good!,FreeThrow,12,7,18,142
RUTG,Free throw coming up... rattled out.       Rebounded by RUTG Marion Brown.,FreeThrow,12,7,18,142
RUTG,Stephen Borg 2-point jumper...Score!,Score,12,9,19,142
WISC,Jeramy Booth 2-point jumper...Missed!       Rebounded by RUTG Daniel West.,Missed,12,9,20,142
RUTG,Daniel West 3-point attempt...Missed!Rebounded by WISC Andrew Jones.,Score,12,9,21,142
WISC,Ralph Long Inside shot...Score!,Score,14,9,22,142
WISC,Craig Mitchell steals the ball for WISC!,Turnover,14,9,23,142
WISC,William Sun 2-point jumper...Score!,Score,16,9,24,142
RUTG,Philip Georgia 2-point jumper...Missed!       Rebounded by RUTG Doug Clanin.,Score,16,9,25,142
RUTG,Marion Brown Inside shot...Score!       Assisted by: Brett Nelsen,Score,16,11,26,142
WISC,Amos Quinn 2-point jumper...Score!,Score,18,11,27,142
RUTG,Gerald Brown Inside shot...BLOCKED by Armando Pope.       Rebounded by RUTG David Groce.,Turnover,18,11,28,142
WISC,William Sun steals the ball for WISC!,Turnover,18,11,29,142
WISC,Armando Pope Inside shot... Missed with a foul on the play.,Fouled,18,11,30,142
WISC,Free throw coming up... good!,FreeThrow,19,11,30,142
WISC,Free throw coming up... good!,FreeThrow,20,11,30,142
RUTG,RUTG: Offensive foul on RUTG Myron Cerroni.,Turnover,20,11,31,142
WISC,Nicholas Mitchell 2-point jumper...Missed!       Rebounded by RUTG Gerald Brown.,Missed,20,11,32,142
WISC,Amos Quinn steals the ball for WISC!,Turnover,20,11,33,142
RUTG,Daniel West steals the ball for RUTG!,Turnover,20,11,34,142
RUTG,Stephen Borg 2-point jumper...Missed!       Rebounded by WISC Andrew Jones.,Score,20,11,35,142
WISC,Roy Barnes 3-point attempt...Missed!       Rebounded by WISC Ralph Long.,Missed,20,11,36,142
WISC,Amos Quinn 3-point attempt...Missed!       Rebounded by RUTG David Groce.,Miss,20,11,37,142
RUTG,Brett Nelsen 3-point attempt...Missed!Rebounded by WISC Amos Quinn.,Score,20,11,38,142
WISC,Ralph Long 3-point attempt...Missed!       Rebounded by RUTG Brett Nelsen.,Miss,20,11,39,142
RUTG,David Groce 2-point jumper...Missed!       Rebounded by WISC Jeramy Booth.,Score,20,11,40,142
WISC,Roy Barnes 2-point jumper...Missed!       Rebounded by WISC Jeramy Booth.,Missed,20,11,41,142
WISC,Amos Quinn 3-point attempt...Score!       Assisted by: Gerald James,Score,23,11,42,142
RUTG,Shad Phillips Inside shot...Score!,Score,23,13,43,142
WISC,Jeramy Booth Inside shot... Missed with a foul on the play.,Fouled,23,13,44,142
WISC,Free throw coming up... good!,FreeThrow,24,13,44,142
WISC,Free throw coming up... good!,FreeThrow,25,13,44,142
RUTG,David Groce 3-point attempt...Score!       Assisted by: John Chura,Score,25,16,45,142
WISC,Armando Pope Inside shot...Missed!       Rebounded by RUTG Donald Bridges.,Score,25,16,46,142
WISC,William Sun steals the ball for WISC!,Turnover,25,16,47,142
